ds,NIFTY50,BANK,IT,VIX
2016-08-25,8592.2001953125,19304.25,10665.650390625,13.289999961853027
2016-08-26,8572.5498046875,19195.75,10523.0498046875,13.569999694824219
2016-08-29,8607.4501953125,19217.0,10385.349609375,13.170000076293945
2016-08-30,8744.349609375,19531.55078125,10572.2998046875,13.020000457763672
2016-08-31,8786.2001953125,19787.599609375,10546.099609375,13.239999771118164
2016-09-01,8774.650390625,19788.849609375,10533.25,13.34000015258789
2016-09-02,8809.650390625,19883.19921875,10528.349609375,12.9399995803833
2016-09-06,8943.0,20426.19921875,10545.2998046875,12.75
2016-09-07,8917.9501953125,20406.900390625,10499.900390625,13.149999618530273
2016-09-08,8952.5,20417.25,10240.5,13.119999885559082
2016-09-09,8866.7001953125,20245.30078125,10291.900390625,13.229999542236328
2016-09-12,8715.599609375,19790.599609375,10374.9501953125,15.239999771118164
2016-09-14,8726.599609375,19909.150390625,10302.849609375,14.760000228881836
2016-09-15,8742.5498046875,19837.55078125,10289.5,14.680000305175781
2016-09-16,8779.849609375,19855.44921875,10399.25,14.579999923706055
2016-09-19,8808.400390625,19906.849609375,10463.400390625,14.9399995803833
2016-09-20,8775.900390625,19852.30078125,10426.7001953125,14.779999732971191
2016-09-21,8777.150390625,19828.44921875,10456.5,14.8100004196167
2016-09-22,8867.4501953125,20109.599609375,10397.150390625,13.34000015258789
2016-09-23,8831.5498046875,19901.80078125,10391.0498046875,13.25
2016-09-26,8723.0498046875,19591.75,10330.0,14.569999694824219
2016-09-27,8706.400390625,19518.69921875,10397.0,14.25
2016-09-28,8745.150390625,19653.55078125,10360.5,13.850000381469727
2016-09-29,8591.25,19183.650390625,10257.7998046875,18.450000762939453
2016-09-30,8611.150390625,19285.69921875,10292.2998046875,17.18000030517578
2016-10-03,8738.099609375,19589.05078125,10309.849609375,15.619999885559082
2016-10-04,8769.150390625,19672.69921875,10394.2998046875,14.989999771118164
2016-10-05,8743.9501953125,19536.849609375,10333.400390625,14.930000305175781
2016-10-06,8709.5498046875,19395.05078125,10242.5,14.84000015258789
2016-10-07,8697.599609375,19400.099609375,10184.25,14.489999771118164
2016-10-10,8708.7998046875,19378.55078125,10270.9501953125,14.289999961853027
2016-10-13,8573.349609375,18954.25,10243.75,15.430000305175781
2016-10-14,8583.400390625,19020.150390625,10228.650390625,14.890000343322754
2016-10-17,8520.400390625,19070.400390625,10158.75,15.65999984741211
2016-10-18,8677.900390625,19495.05078125,10377.150390625,14.539999961853027
2016-10-19,8659.099609375,19412.099609375,10411.099609375,14.609999656677246
2016-10-20,8699.400390625,19658.69921875,10372.9501953125,14.170000076293945
2016-10-21,8693.0498046875,19710.900390625,10477.099609375,13.829999923706055
2016-10-24,8708.9501953125,19807.900390625,10327.7001953125,14.329999923706055
2016-10-25,8691.2998046875,19834.900390625,10261.400390625,14.479999542236328
2016-10-26,8615.25,19483.599609375,10157.349609375,14.449999809265137
2016-10-27,8615.25,19514.599609375,10052.900390625,14.09000015258789
2016-10-28,8638.0,19555.94921875,10048.400390625,14.649999618530273
2016-11-01,8626.25,19458.599609375,9990.599609375,15.739999771118164
2016-11-02,8514.0,19227.900390625,9871.25,16.799999237060547
2016-11-03,8484.9501953125,19178.69921875,9809.75,16.469999313354492
2016-11-04,8433.75,19058.099609375,9924.0498046875,16.850000381469727
2016-11-07,8497.0498046875,19356.0,9970.0,16.510000228881836
2016-11-08,8543.5498046875,19500.80078125,10008.400390625,16.770000457763672
2016-11-09,8432.0,19518.25,9683.25,16.6200008392334
2016-11-10,8525.75,20200.25,9654.75,15.460000038146973
2016-11-11,8296.2998046875,19738.80078125,9434.599609375,17.360000610351562
2016-11-15,8108.4501953125,19289.75,9487.0,20.149999618530273
2016-11-16,8111.60009765625,19108.099609375,9641.0,19.5
2016-11-17,8079.9501953125,19087.849609375,9496.2001953125,18.709999084472656
2016-11-18,8074.10009765625,18959.05078125,9476.4501953125,17.809999465942383
2016-11-21,7929.10009765625,18446.400390625,9453.75,19.100000381469727
2016-11-22,8002.2998046875,18548.650390625,9509.4501953125,18.469999313354492
2016-11-23,8033.2998046875,18540.900390625,9549.849609375,18.040000915527344
2016-11-24,7965.5,18256.099609375,9656.25,17.15999984741211
2016-11-25,8114.2998046875,18507.30078125,10114.900390625,17.610000610351562
2016-11-28,8126.89990234375,18301.44921875,10106.2001953125,18.059999465942383
2016-11-29,8142.14990234375,18223.75,10059.599609375,17.709999084472656
2016-11-30,8224.5,18627.80078125,10087.7001953125,16.850000381469727
2016-12-01,8192.900390625,18428.44921875,10049.75,16.690000534057617
2016-12-02,8086.7998046875,18247.650390625,9922.7998046875,17.93000030517578
2016-12-05,8128.75,18408.900390625,9836.0,17.290000915527344
2016-12-06,8143.14990234375,18420.900390625,9834.9501953125,17.110000610351562
2016-12-07,8102.0498046875,18234.150390625,9777.900390625,16.850000381469727
2016-12-08,8246.849609375,18515.44921875,9935.900390625,15.529999732971191
2016-12-09,8261.75,18695.80078125,9997.5,15.069999694824219
2016-12-12,8170.7998046875,18392.94921875,9953.900390625,16.190000534057617
2016-12-13,8221.7998046875,18466.05078125,10058.650390625,15.920000076293945
2016-12-14,8182.4501953125,18341.5,10128.9501953125,16.59000015258789
2016-12-15,8153.60009765625,18401.150390625,10195.75,15.65999984741211
2016-12-16,8139.4501953125,18312.80078125,10222.9501953125,15.25
2016-12-19,8104.35009765625,18257.05078125,10223.650390625,14.84000015258789
2016-12-20,8082.39990234375,18069.400390625,10322.849609375,14.539999961853027
2016-12-21,8061.2998046875,18084.5,10228.25,14.710000038146973
2016-12-22,7979.10009765625,17891.44921875,10163.0,15.550000190734863
2016-12-23,7985.75,17884.0,10071.0498046875,15.130000114440918
2016-12-26,7908.25,17655.55078125,10023.2998046875,16.600000381469727
2016-12-27,8032.85009765625,17879.55078125,10170.7001953125,15.079999923706055
2016-12-28,8034.85009765625,17876.69921875,10198.599609375,15.539999961853027
2016-12-29,8103.60009765625,18033.150390625,10291.849609375,15.279999732971191
2016-12-30,8185.7998046875,18177.19921875,10399.25,15.470000267028809
2017-01-02,8179.5,17969.599609375,10367.0498046875,15.829999923706055
2017-01-03,8192.25,18035.599609375,10362.25,15.960000038146973
2017-01-04,8190.5,17891.0,10496.900390625,15.890000343322754
2017-01-05,8273.7998046875,18115.94921875,10400.0498046875,15.050000190734863
2017-01-06,8243.7998046875,18264.0,10110.4501953125,14.90999984741211
2017-01-09,8236.0498046875,18286.650390625,10198.4501953125,15.479999542236328
2017-01-10,8288.599609375,18409.599609375,10221.5,15.199999809265137
2017-01-11,8380.650390625,18830.0,10220.5498046875,14.8100004196167
2017-01-12,8407.2001953125,18873.94921875,10398.7998046875,14.609999656677246
2017-01-13,8400.349609375,18912.099609375,10263.5498046875,14.380000114440918
2017-01-16,8412.7998046875,19096.44921875,10173.099609375,15.069999694824219
2017-01-17,8398.0,19067.05078125,10206.7998046875,15.390000343322754
2017-01-18,8417.0,19164.5,10231.599609375,15.180000305175781
2017-01-19,8435.099609375,19124.25,10222.150390625,15.020000457763672
2017-01-20,8349.349609375,18820.80078125,10132.650390625,15.789999961853027
2017-01-23,8391.5,18842.69921875,10219.400390625,15.90999984741211
2017-01-24,8475.7998046875,19023.5,10201.599609375,15.289999961853027
2017-01-25,8602.75,19473.19921875,10164.4501953125,15.170000076293945
2017-01-27,8641.25,19708.30078125,10181.849609375,16.010000228881836
2017-01-30,8632.75,19585.25,10170.650390625,16.670000076293945
2017-01-31,8561.2998046875,19515.150390625,9848.5,16.829999923706055
2017-02-01,8716.400390625,20020.599609375,9750.0,13.970000267028809
2017-02-02,8734.25,20070.30078125,9926.0,13.520000457763672
2017-02-03,8740.9501953125,20196.80078125,10025.7998046875,13.130000114440918
2017-02-06,8801.0498046875,20371.599609375,10029.0498046875,13.399999618530273
2017-02-07,8768.2998046875,20327.25,9997.9501953125,13.510000228881836
2017-02-08,8769.0498046875,20245.400390625,10007.0498046875,13.350000381469727
2017-02-09,8778.400390625,20151.150390625,10167.900390625,13.239999771118164
2017-02-10,8793.5498046875,20213.900390625,10387.849609375,13.180000305175781
2017-02-13,8805.0498046875,20251.80078125,10452.900390625,13.6899995803833
2017-02-14,8792.2998046875,20258.099609375,10474.099609375,13.800000190734863
2017-02-15,8724.7001953125,20163.69921875,10427.650390625,14.210000038146973
2017-02-16,8778.0,20243.69921875,10628.0498046875,13.729999542236328
2017-02-17,8821.7001953125,20551.349609375,10527.2001953125,13.430000305175781
2017-02-20,8879.2001953125,20677.099609375,10671.25,13.609999656677246
2017-02-21,8907.849609375,20860.94921875,10680.75,13.529999732971191
